,1001
0.399,0.159
0.400,0.160
0.401,0.161
0.402,0.162
0.403,0.162
0.404,0.163
0.405,0.164
0.406,0.165
0.407,0.166
0.408,0.166
0.409,0.167
0.410,0.168
0.411,0.169
0.412,0.170
0.413,0.171
0.414,0.171
0.415,0.172
0.416,0.173
0.417,0.174
0.418,0.175
0.419,0.176
0.420,0.176
0.421,0.177
0.422,0.178
0.423,0.179
0.424,0.180
0.425,0.181
0.426,0.181
0.427,0.182
0.428,0.183
0.429,0.184
0.430,0.185
0.431,0.186
0.432,0.187
0.433,0.187
0.434,0.188
0.435,0.189
0.436,0.190
0.437,0.191
0.438,0.192
0.439,0.193
0.440,0.194
0.441,0.194
0.442,0.195
0.443,0.196
0.444,0.197
0.445,0.198
0.446,0.199
0.447,0.200
0.448,0.201
0.449,0.202
0.450,0.203
0.451,0.203
0.452,0.204
0.453,0.205
0.454,0.206
0.455,0.207
0.456,0.208
0.457,0.209
0.458,0.210
0.459,0.211
0.460,0.212
0.461,0.213
0.462,0.213
0.463,0.214
0.464,0.215
0.465,0.216
0.466,0.217
0.467,0.218
0.468,0.219
0.469,0.220
0.470,0.221
0.471,0.222
0.472,0.223
0.473,0.224
0.474,0.225
0.475,0.226
0.476,0.227
0.477,0.228
0.478,0.228
0.479,0.229
0.480,0.230
0.481,0.231
0.482,0.232
0.483,0.233
0.484,0.234
0.485,0.235
0.486,0.236
0.487,0.237
0.488,0.238
0.489,0.239
0.490,0.240
0.491,0.241
0.492,0.242
0.493,0.243
0.494,0.244
0.495,0.245
0.496,0.246
0.497,0.247
0.498,0.248
0.499,0.249
0.500,0.250
0.501,0.251
0.502,0.252
0.503,0.253
0.504,0.254
0.505,0.255
0.506,0.256
0.507,0.257
0.508,0.258
0.509,0.259
0.510,0.260
0.511,0.261
0.512,0.262
0.513,0.263
0.514,0.264
0.515,0.265
0.516,0.266
0.517,0.267
0.518,0.268
0.519,0.269
0.520,0.270
0.521,0.271
0.522,0.272
0.523,0.274
0.524,0.275
0.525,0.276
0.526,0.277
0.527,0.278
0.528,0.279
0.529,0.280
0.530,0.281
0.531,0.282
0.532,0.283
0.533,0.284
0.534,0.285
0.535,0.286
0.536,0.287
0.537,0.288
0.538,0.289
0.539,0.291
0.540,0.292
0.541,0.293
0.542,0.294
0.543,0.295
0.544,0.296
0.545,0.297
0.546,0.298
0.547,0.299
0.548,0.300
0.549,0.301
0.550,0.303
0.551,0.304
0.552,0.305
0.553,0.306
0.554,0.307
0.555,0.308
0.556,0.309
0.557,0.310
0.558,0.311
0.559,0.312
0.560,0.314
0.561,0.315
0.562,0.316
0.563,0.317
0.564,0.318
0.565,0.319
0.566,0.320
0.567,0.321
0.568,0.323
0.569,0.324
0.570,0.325
0.571,0.326
0.572,0.327
0.573,0.328
0.574,0.329
0.575,0.331
0.576,0.332
0.577,0.333
0.578,0.334
0.579,0.335
0.580,0.336
0.581,0.338
0.582,0.339
0.583,0.340
0.584,0.341
0.585,0.342
0.586,0.343
0.587,0.345
0.588,0.346
0.589,0.347
0.590,0.348
0.591,0.349
0.592,0.350
0.593,0.352
0.594,0.353
0.595,0.354
0.596,0.355
0.597,0.356
0.598,0.358
0.599,0.359
0.600,0.360
0.601,0.361
0.602,0.362
0.603,0.364
0.604,0.365
0.605,0.366
0.606,0.367
0.607,0.368
0.608,0.370
0.609,0.371
0.610,0.372
0.611,0.373
