ID	Intercept	devpressure	slope	lakes_dist_km	streets_dist_km
27511	-3.50480894229951	0.194576847512162	-0.156294822896438	-0.128586518880483	-1.62662677517719
27518	-3.52775759259871	0.194576847512162	-0.156294822896438	-0.128586518880483	-1.62662677517719
27529	-3.44386674639131	0.194576847512162	-0.156294822896438	-0.128586518880483	-1.62662677517719
27539	-3.49050279893008	0.194576847512162	-0.156294822896438	-0.128586518880483	-1.62662677517719
27601	-3.51843314592236	0.194576847512162	-0.156294822896438	-0.128586518880483	-1.62662677517719
27603	-3.5130664702626	0.194576847512162	-0.156294822896438	-0.128586518880483	-1.62662677517719
27604	-3.51097104692302	0.194576847512162	-0.156294822896438	-0.128586518880483	-1.62662677517719
27605	-3.48944610351277	0.194576847512162	-0.156294822896438	-0.128586518880483	-1.62662677517719
27606	-3.42664719989293	0.194576847512162	-0.156294822896438	-0.128586518880483	-1.62662677517719
27607	-3.59691417716854	0.194576847512162	-0.156294822896438	-0.128586518880483	-1.62662677517719
27608	-3.52689665380165	0.194576847512162	-0.156294822896438	-0.128586518880483	-1.62662677517719
27610	-3.48020133788513	0.194576847512162	-0.156294822896438	-0.128586518880483	-1.62662677517719
